"","compound_id","replicate","measure1","measure2","measure3","measure4","measure5","activity"
"1",1,1,63.7095844714667,23.0882339645177,160,194.937116443382,8.83304453800996,0
"2",1,2,44.3530182860391,63.0007385741919,135,169.64043906935,55.1649217143999,0
"3",1,3,53.6312841133734,106.518457453222,160,199.511841347905,10.8017885498413,0
"4",2,1,11.2657252099221,24.9250635310056,45,36.2298323172833,9.72274448438944,0
"5",2,2,10.808536646282,85.3652582145436,28,45.9454379417776,11.156804977227,0
"6",2,3,9.78775096781703,42.1494658596162,37,47.5508337077088,11.9801757888094,0
"7",3,1,13.0230439948779,35.9935157356744,35,34.1480368782792,6.06906865048735,0
"8",3,2,9.8106819231738,36.2166115252261,36,33.5303586321157,5.90214795863991,0
"9",3,3,14.0368474277541,23.5496583758833,33,37.574966737779,6.07948304819502,0
"10",4,1,9.87457180189516,34.5515089837794,21,39.7015246539675,3.65277070741988,0
"11",4,2,12.609739308447,13.1787856575102,35,40.6403985527429,6.35461045683261,0
"12",4,3,14.5732907854022,0.607182336971164,31,43.989661253781,15.1644047060311,0
"13",5,1,7.22227859777532,1.32212257247366,39,34.9196224985656,6.37952885245508,0
"14",5,2,9.44242246636526,14.3998514782372,35,41.2322664755379,5.71422051421343,0
"15",5,3,9.73335732721268,19.0130157760325,22,36.8055903485485,6.3321312705865,0
"16",6,1,11.2719007961401,3.40751534327865,37,36.9885770603707,15.3213287480653,0
"17",6,2,9.43149415716785,24.3267478359144,24,42.7455331985075,15.2831393936603,0
"18",6,3,4.68708915819045,17.292358702815,32,40.6204741993054,4.36467476640674,0
"19",7,1,25.5953307142448,9.78085338138044,135,217.738956367393,26.6820665828079,0
"20",7,2,63.2011334573019,124.701881311358,145,179.407740937148,61.7849800991091,0
"21",7,3,46.9336140592153,26.1090899817646,200,202.168428839513,53.1121278637469,0
"22",8,1,6.43738313204,15.6764026722851,35,39.1079090244507,16.9280614345899,0
"23",8,2,9.65616528848076,4.59040592978131,26,45.1181908400641,10.2741088468622,0
"24",8,3,12.4293493983452,49.7915479888148,42,39.860391066259,1.99956236011257,0
"25",9,1,13.7903869225299,56.1873534288178,26,36.0153265885879,10.1763727898639,0
"26",9,2,9.1390617367876,21.2893402514319,31,43.5939782064645,2.99661299391896,0
"27",9,3,9.48546123446214,0.98665707744658,40,42.6265700368778,11.0795300831529,0
"28",10,1,6.47367382961044,25.4950469024148,33,44.0770417662885,4.14303534738625,0
